language,tokenizer_id,template_id,ascii_ratio,lsar,csbc,spr
Hindi,openai/tiktoken/cl100k_base,template-703,0.310000,0.600000,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-245,0.169811,0.666667,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-986,0.326531,0.200000,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-427,0.146789,0.666667,1.000000,1.055556
Hindi,openai/tiktoken/cl100k_base,template-250,0.305556,0.333333,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-367,0.321739,0.333333,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-181,0.184783,0.714286,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-993,0.324324,0.200000,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-746,0.351852,0.200000,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-912,0.164948,0.333333,1.000000,1.090909
Hindi,openai/tiktoken/cl100k_base,template-565,0.309091,0.200000,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-489,0.340000,0.600000,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-663,0.313043,0.333333,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-156,0.164948,0.666667,1.000000,1.062500
Hindi,openai/tiktoken/cl100k_base,template-883,0.346535,0.600000,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-740,0.311927,0.200000,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-380,0.164948,0.666667,1.000000,1.062500
Hindi,openai/tiktoken/cl100k_base,template-500,0.320388,0.200000,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-820,0.160000,0.666667,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-595,0.187500,0.428571,1.000000,1.083333
Hindi,openai/tiktoken/cl100k_base,template-566,0.155340,0.333333,1.000000,1.066667
Hindi,openai/tiktoken/cl100k_base,template-959,0.324324,0.200000,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-698,0.170213,0.666667,1.000000,1.066667
Hindi,openai/tiktoken/cl100k_base,template-185,0.363636,0.333333,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-886,0.311927,0.600000,1.000000,1.062500
Hindi,openai/tiktoken/cl100k_base,template-80,0.170213,1.000000,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-135,0.175824,0.666667,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-830,0.333333,0.333333,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-382,0.175824,1.000000,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-640,0.177570,0.714286,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-778,0.311927,0.200000,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-213,0.336634,0.600000,1.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-153,0.178947,1.000000,1.000000,1.000000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-78,0.250000,0.000000,0.000000,3.250000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-596,0.273684,0.000000,0.000000,2.875000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-263,0.215909,0.000000,0.000000,2.875000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-966,0.198020,0.000000,0.000000,3.000000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-870,0.138614,0.000000,0.000000,3.222222
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-584,0.084507,0.000000,0.000000,3.818182
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-14,0.151163,0.000000,0.000000,3.142857
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-540,0.095238,0.000000,0.000000,3.166667
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-86,0.096386,0.000000,0.000000,3.125000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-973,0.138614,0.000000,0.000000,3.625000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-638,0.086957,0.000000,0.000000,3.500000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-744,0.138614,0.000000,0.000000,3.222222
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-255,0.083969,0.000000,0.000000,3.636364
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-99,0.084211,0.000000,0.000000,3.222222
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-516,0.083969,0.000000,0.000000,3.636364
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-945,0.092308,0.000000,0.000000,3.454545
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-54,0.257732,0.000000,0.000000,3.428571
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-528,0.242991,0.000000,0.000000,3.375000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-366,0.208791,0.000000,0.000000,3.000000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-958,0.242718,0.000000,0.000000,3.714286
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-352,0.142857,0.000000,0.000000,3.333333
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-413,0.085938,0.000000,0.000000,3.545455
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-571,0.096386,0.000000,0.000000,3.125000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-927,0.240741,0.000000,0.000000,3.714286
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-439,0.208791,0.000000,0.000000,3.000000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-818,0.154639,0.000000,0.000000,3.250000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-360,0.082090,0.000000,0.000000,3.727273
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-66,0.089888,0.000000,0.000000,3.375000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-611,0.156250,0.000000,0.000000,3.000000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-578,0.204082,0.000000,0.000000,3.125000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-688,0.151515,0.000000,0.000000,3.111111
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-34,0.096774,0.000000,0.000000,3.111111
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-817,0.098039,0.000000,0.000000,3.111111
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-297,0.257732,0.000000,0.000000,3.428571
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-134,0.185185,0.000000,0.000000,3.000000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-260,0.090909,0.000000,0.000000,3.333333
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-824,0.085938,0.000000,0.000000,3.545455
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-751,0.085938,0.000000,0.000000,3.545455
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-918,0.149533,0.000000,0.000000,3.222222
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-988,0.161290,0.000000,0.000000,2.888889
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-466,0.141509,0.000000,0.000000,3.222222
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-849,0.086957,0.000000,0.000000,2.800000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-350,0.153846,0.000000,0.000000,3.000000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-463,0.210000,0.000000,0.000000,2.777778
